YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 09 07 325  9.1 11.0  4.40 14.29  8.76 999 1015.3  11.1  11.7 999.0 99.0 99.00
2001 01 09 08 321  9.5 12.0  4.59 14.29  9.35 999 1015.6  11.1  11.7 999.0 99.0 99.00
2001 01 09 09 326  8.9 10.8  4.02 14.29  8.78 999 1015.2  11.0  11.6 999.0 99.0 99.00
2001 01 09 10 333  7.7  9.1  4.24 14.29  9.36 999 1014.7  10.8  11.6 999.0 99.0 99.00
2001 01 09 11 325  6.6  8.0  3.52 12.50  8.61 999 1014.6  10.6  11.6 999.0 99.0 99.00
2001 01 09 12 321  7.4  9.6  3.75 14.29  9.24 999 1014.4  10.5  11.6 999.0 99.0 99.00
2001 01 09 13 317  5.7  7.2  3.61 14.29  9.09 999 1014.4  10.4  11.6 999.0 99.0 99.00
2001 01 09 14 299  4.5  6.0  3.35 14.29  9.34 999 1014.4  10.4  11.7 999.0 99.0 99.00
2001 01 09 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2001 01 09 16 272  2.4  3.6  2.91 14.29  9.09 999 1015.2  10.7  11.7 999.0 99.0 99.00
2001 01 09 17 171  2.9  4.0  3.48 14.29  9.90 999 1015.0  10.7  11.7 999.0 99.0 99.00
2001 01 09 18 177  5.4  6.4  3.37 14.29  9.98 999 1015.5  10.8  11.7 999.0 99.0 99.00
2001 01 09 19 180  6.3  7.6  3.44 14.29 10.23 999 1016.3  11.0  11.7 999.0 99.0 99.00
2001 01 09 20 151  7.6  9.5  3.20 14.29  9.54 999 1014.8  10.9  11.7 999.0 99.0 99.00
2001 01 09 21 161  9.7 11.7  2.76 14.29  8.10 999 1013.8  10.8  11.8 999.0 99.0 99.00
2001 01 09 22 157 11.1 13.2  3.10 14.29  7.85 999 1013.1  10.0  11.8 999.0 99.0 99.00
2001 01 09 23 161 10.6 12.4  3.01 14.29  7.33 999 1013.3  10.0  11.8 999.0 99.0 99.00
2001 01 10 00 163 10.9 13.0  3.07 14.29  7.15 999 1013.0  10.2  11.8 999.0 99.0 99.00
