#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 05 18 50 999  5.0  6.9  0.98 12.12  4.88 200 1014.9 999.0  18.9 999.0 99.0 99.00
2012 01 05 19 50 999  6.8  8.3  0.95  6.67  4.96 171 1015.1 999.0  18.9 999.0 99.0 99.00
2012 01 05 20 50 999  6.3  8.3  0.93 11.43  4.85 113 1015.6 999.0  19.0 999.0 99.0 99.00
2012 01 05 21 50 999  5.9  7.9  0.91 11.43  4.81  62 1015.9 999.0  19.0 999.0 99.0 99.00
2012 01 05 22 50 999  6.3  8.5  0.92  7.14  4.72 164 1016.8 999.0  19.0 999.0 99.0 99.00
2012 01 05 23 50 999  7.7  9.6  0.83  7.14  4.27 170 1017.5 999.0  18.9 999.0 99.0 99.00
2012 01 06 00 50 999  6.1  7.7  0.78 11.43  4.29  61 1018.1 999.0  18.9 999.0 99.0 99.00
2012 01 06 01 50 999  5.3  7.2  0.83  6.67  4.37 166 1018.1 999.0  18.2 999.0 99.0 99.00
2012 01 06 02 50 999  4.3  5.9  0.86 10.81  4.56 116 1018.1 999.0  18.2 999.0 99.0 99.00
2012 01 06 03 50 999  5.5  6.4  0.86 10.81  4.91 104 1018.0 999.0  18.1 999.0 99.0 99.00
2012 01 06 04 50 999  6.7  8.3  0.82  4.76  4.63  10 1017.7 999.0  18.2 999.0 99.0 99.00
2012 01 06 05 50 999  6.9  8.7  0.82  5.00  4.25  29 1017.7 999.0  18.7 999.0 99.0 99.00
2012 01 06 06 50 999  6.9  8.8  0.89  3.13  4.25 246 1017.4 999.0  18.8 999.0 99.0 99.00
2012 01 06 07 50 999  6.8  8.0  0.87  3.33  4.35 252 1017.2 999.0  18.8 999.0 99.0 99.00
2012 01 06 08 50 999  7.7  9.2  0.89  3.70  4.19 245 1016.9 999.0  18.0 999.0 99.0 99.00
2012 01 06 09 50 999  8.7 10.1  0.85  3.85  4.02 232 1017.2 999.0  17.5 999.0 99.0 99.00
2012 01 06 10 50 999  8.5  9.8  0.94  3.85  4.12 230 1017.3 999.0  17.5 999.0 99.0 99.00
2012 01 06 11 50 999  9.3 10.9  0.95  4.17  3.96 222 1017.6 999.0  17.6 999.0 99.0 99.00
2012 01 06 12 50 999 11.7 13.8  1.05  4.00  4.00 224 1017.3 999.0  17.7 999.0 99.0 99.00
2012 01 06 13 50 999 11.2 13.3  1.33  4.35  4.17 211 1017.7 999.0  17.9 999.0 99.0 99.00
2012 01 06 14 50 999 11.3 13.5  1.39  4.76  4.20 219 1018.0 999.0  18.6 999.0 99.0 99.00
2012 01 06 15 50 999 11.1 13.1  1.51  5.26  4.53 208 1017.3 999.0  18.8 999.0 99.0 99.00
2012 01 06 16 50 999  9.6 11.9  1.48  5.00  4.56 206 1016.7 999.0  18.9 999.0 99.0 99.00
2012 01 06 17 50 999  9.8 11.5  1.37  5.56  4.45 190 1015.5 999.0  18.9 999.0 99.0 99.00
2012 01 06 18 50 999 10.0 11.6  1.26  5.26  4.43 207 1014.8 999.0  19.0 999.0 99.0 99.00
2012 01 06 19 50 999 10.3 12.9  1.27  5.00  4.33 198 1014.1 999.0  19.0 999.0 99.0 99.00
2012 01 06 20 50 999 10.8 13.3  1.29  5.26  4.26 184 1014.0 999.0  19.0 999.0 99.0 99.00
2012 01 06 21 50 999 11.3 13.2  1.38  4.35  4.23 196 1014.1 999.0  19.0 999.0 99.0 99.00
2012 01 06 22 50 999 10.1 12.0  1.33  5.88  4.31 183 1014.2 999.0  16.0 999.0 99.0 99.00
2012 01 06 23 50 999 10.6 12.6  1.48  5.56  4.54 177 1014.4 999.0  15.2 999.0 99.0 99.00
2012 01 07 00 50 999 10.0 12.0  1.50  5.56  4.59 182 1014.4 999.0  13.7 999.0 99.0 99.00
2012 01 07 01 50 999  9.7 11.4  1.59  5.56  4.75 178 1014.8 999.0  13.5 999.0 99.0 99.00
2012 01 07 02 50 999  9.1 10.8  1.66  5.88  4.80 180 1014.5 999.0  13.3 999.0 99.0 99.00
