YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 07 19 00 289 11.2 13.8  2.69  7.14  5.47 999 1017.9   3.2   5.9  -5.4 99.0 99.00
2005 01 07 20 00 303 12.0 14.0  2.49  7.14  5.07 999 1019.6   3.2   5.9  -4.2 99.0 99.00
2005 01 07 21 00 320 12.2 14.8  2.29  6.67  4.90 999 1020.6   2.1   5.9  -4.2 99.0 99.00
2005 01 07 22 00 324 10.6 12.8  2.24  5.56  4.99 999 1022.0   1.9   5.9  -4.1 99.0 99.00
2005 01 07 23 00 325  8.6 10.8  1.95  5.88  4.91 999 1023.1   1.6   5.9  -5.2 99.0 99.00
2005 01 08 00 00 317  8.5 10.1  1.93  6.25  4.88 999 1025.2   1.7   5.9  -6.1 99.0 99.00
2005 01 08 01 00 315  6.0  7.3  1.70  5.56  4.73 999 1025.5   1.6   5.9  -7.0 99.0 99.00
2005 01 08 02 00 314  6.3  7.6  1.33  5.26  4.47 999 1025.7   1.6   5.9  -7.1 99.0 99.00
2005 01 08 03 00 322  5.0  6.2  1.19  5.00  4.29 999 1026.6   1.9   5.9  -9.0 99.0 99.00
2005 01 08 04 00 339  4.5  5.8  1.08  4.55  4.25 999 1026.7   1.7   5.9 -10.0 99.0 99.00
2005 01 08 05 00 341  3.3  4.5  0.96  4.17  4.24 999 1026.5   1.9   5.9  -8.1 99.0 99.00
2005 01 08 06 00 354  1.8  3.0  0.93  8.33  4.54 999 1027.2   1.9   5.9  -8.1 99.0 99.00
2005 01 08 07 00   8  1.8  2.7  0.96  8.33  4.85 999 1027.2   1.9   5.9  -9.4 99.0 99.00
2005 01 08 08 00  21  1.4  2.4  0.92  8.33  5.15 999 1027.2   2.0   5.9  -8.8 99.0 99.00
2005 01 08 09 00 110  0.4  1.0  0.91  9.09  5.25 999 1027.0   2.0   5.9  -9.4 99.0 99.00
2005 01 08 10 00 101  1.8  2.5  0.88  8.33  5.44 999 1026.6   2.0   5.9  -6.9 99.0 99.00
2005 01 08 11 00 117  3.4  4.2  0.75  9.09  5.38 999 1025.9   2.1   5.9  -6.1 99.0 99.00
2005 01 08 12 00 132  4.4  5.8  0.64  9.09  5.24 999 1025.8   2.4   5.9  -5.5 99.0 99.00
2005 01 08 13 00 167  5.4  7.4  0.63  9.09  5.41 999 1026.0   3.1   5.9  -5.9 99.0 99.00
2005 01 08 14 00 169  5.9  7.8  0.64 10.00  5.26 999 1025.8   3.5   5.9  -4.2 99.0 99.00
2005 01 08 15 00 186  5.6  6.7  0.78  9.09  4.42 999 1025.1   3.9   5.9  -4.6 99.0 99.00
2005 01 08 16 00 180  5.2  6.1  0.80  8.33  4.46 999 1023.6   3.9   5.9  -3.6 99.0 99.00
2005 01 08 17 00 192  5.8  7.3  0.88  8.33  4.37 999 1022.9   4.0   5.9  -3.8 99.0 99.00
2005 01 08 18 00 195  5.8  7.2  0.84  7.69  4.22 999 1022.5   1.7   5.9  -0.5 99.0 99.00
2005 01 08 19 00 242  2.2  3.0  0.83  7.69  4.32 999 1021.5   0.8   5.9   0.5 99.0 99.00
2005 01 08 20 00 341  2.3  2.8  0.81  7.69  4.69 999 1021.5   0.4   5.9   0.2 99.0 99.00
2005 01 08 21 00  22  3.6  4.6  0.81  7.69  4.78 999 1020.7   0.7   5.8  -3.6 99.0 99.00
2005 01 08 22 00  31  5.7  7.6  0.79  7.14  4.82 999 1019.5   1.2   5.9   1.0 99.0 99.00
2005 01 08 23 00  37  7.1  8.3  0.75  8.33  4.31 999 1018.8   1.1   5.9   0.9 99.0 99.00
2005 01 09 00 00  41  8.1  9.5  0.78  3.03  3.82 999 1018.1   1.9   5.9   1.7 99.0 99.00
2005 01 09 01 00  29  7.2  9.1  0.94  3.45  3.71 999 1019.3   1.9   5.9   1.7 99.0 99.00
2005 01 09 02 00   2 10.7 12.7  1.29  3.85  3.87 999 1019.6   0.9   5.9   0.7 99.0 99.00
2005 01 09 03 00 354 11.4 13.1  1.66  5.00  4.32 999 1020.6   1.1   5.9   0.9 99.0 99.00
2005 01 09 04 00 358 11.5 13.4  1.86  5.26  4.52 999 1020.8   1.0   5.9   0.8 99.0 99.00
2005 01 09 05 00   3 11.5 13.5  2.16  5.56  4.71 999 1021.9   1.2   5.9   1.1 99.0 99.00
2005 01 09 06 00   7 10.6 13.0  2.12  5.26  4.76 999 1022.5   1.4   5.9   0.7 99.0 99.00
