#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 05 16 00 245  5.6  7.1  1.32  5.56  4.83 999 1027.2   2.4   5.6  -4.8 99.0 99.00
2008 01 05 17 00 239  5.3  6.6  1.25  5.56  4.73 999 1026.1   2.5   5.6  -5.5 99.0 99.00
2008 01 05 18 00 235  6.4  8.2  1.19  5.26  4.68 999 1025.8   2.8   5.6  -5.0 99.0 99.00
2008 01 05 19 00 237  6.1  7.4  1.11  5.00  4.53 999 1025.7   2.8   5.6  -4.5 99.0 99.00
2008 01 05 20 00 238  5.9  7.3  1.14  4.76  4.51 999 1025.7   2.8   5.6  -4.6 99.0 99.00
2008 01 05 21 00 234  8.0  9.2  1.09  3.70  3.96 999 1025.7   3.2   5.6  -4.3 99.0 99.00
2008 01 05 22 00 236  7.6  9.2  0.88  2.94  3.55 999 1025.7   3.5   5.5  -3.9 99.0 99.00
2008 01 05 23 00 222  7.2  8.0  0.84  2.94  3.69 999 1025.1   3.9   5.6  -3.7 99.0 99.00
2008 01 06 00 00 222  9.6 11.0  0.70 12.50  3.89 999 1024.3   4.7   5.8  -3.0 99.0 99.00
2008 03 03 16 50 187  8.6 10.4  0.85  3.33  3.63 999 1022.8   2.4   4.0  -3.4 99.0 99.00
2008 03 03 17 50 192  9.3 11.0  1.10  3.85  3.89 999 1022.0   2.7   4.0  -3.0 99.0 99.00
2008 03 03 18 50 196 10.2 12.6  1.40  4.55  4.10 999 1020.9   3.1   4.0  -2.7 99.0 99.00
2008 03 03 19 50 190  9.9 11.6  1.60  5.00  4.33 999 1019.5   3.6   4.0  -0.3 99.0 99.00
2008 03 03 20 50 193  9.3 11.0  1.76  5.56  4.60 999 1018.2   4.3   4.0   0.9 99.0 99.00
2008 03 03 21 50 196 10.1 12.0  2.05  5.56  4.73 999 1017.8   4.7   4.0   1.2 99.0 99.00
2008 03 03 22 50 196 10.1 12.6  2.11  6.25  4.97 999 1016.6   4.8   4.0   1.4 99.0 99.00
2008 03 03 23 50 198 11.7 14.8  2.18  6.25  4.96 999 1015.8   5.2   4.0   2.0 99.0 99.00
2008 03 04 00 50 198 12.0 14.4  2.46  6.67  5.21 999 1015.0   5.5   4.0   3.1 99.0 99.00
2008 03 04 01 50 203 12.0 14.5  2.54  7.14  5.46 999 1015.0   5.6   4.0   3.5 99.0 99.00
2008 03 04 02 50 208 12.0 14.3  2.66  6.67  5.41 999 1014.7   5.6   4.0   3.5 99.0 99.00
2008 03 04 03 50 207 10.9 14.1  2.95  7.14  5.78 999 1014.3   5.8   4.0   3.5 99.0 99.00
2008 03 04 04 50 201 11.8 14.4  2.70  7.14  5.60 999 1013.4   5.9   4.0   3.3 99.0 99.00
2008 03 04 05 50 198 11.5 13.6  2.74  7.14  5.62 999 1012.7   5.8   4.0   4.1 99.0 99.00
2008 03 04 06 50 202 11.7 14.1  2.95  7.14  5.55 999 1012.5   6.5   4.0   5.0 99.0 99.00
2008 03 04 07 50 199 12.5 15.5  3.09  7.14  5.83 999 1011.0   6.6   4.0   5.6 99.0 99.00
2008 03 04 08 50 200 13.2 16.5  3.18  7.14  5.79 999 1010.1   6.7   4.0   5.8 99.0 99.00
2008 03 04 09 50 202 13.2 16.2  3.04  7.14  5.69 999 1009.9   6.9   4.0   6.2 99.0 99.00
2008 03 04 10 50 206 12.9 15.6  3.12  7.14  5.70 999 1009.7   7.1   4.0   6.3 99.0 99.00
2008 03 04 11 50 209 12.2 14.4  3.50  7.69  6.00 999 1010.2   6.8   4.0   5.9 99.0 99.00
2008 03 04 12 50 208 12.1 14.5  3.22  7.69  5.83 999 1010.6   7.0   4.0   5.9 99.0 99.00
2008 03 04 13 50 210 10.9 13.0  2.86  7.14  5.54 999 1011.0   6.8   4.0   5.6 99.0 99.00
2008 03 04 14 50 214 10.6 12.5  2.72  7.14  5.55 999 1011.6   7.0   4.0   5.8 99.0 99.00
2008 03 04 15 50 213  9.0 10.7  2.58  7.14  5.61 999 1012.5   6.6   4.0   5.6 99.0 99.00
2008 03 04 16 50 215  8.0  9.5  2.50  7.14  5.63 999 9999.0   6.4   4.0   5.3 99.0 99.00
2008 03 04 17 50 225  6.2  7.1  2.34  7.69  5.56 999 1013.1   6.3   4.0   5.2 99.0 99.00
2008 03 04 18 50 219  5.2  6.5  2.31  7.69  5.81 999 1012.8   6.2   4.0   5.2 99.0 99.00
2008 03 04 19 50 264  4.2  4.9  1.89  7.69  5.60 999 1013.7   5.9   4.0   5.2 99.0 99.00
2008 03 04 20 50 255  4.1  5.6  1.83  7.69  5.45 999 1014.6   7.2   4.0   4.5 99.0 99.00
2008 03 04 21 50 272  1.4  1.9  1.61  7.69  5.36 999 1015.0   6.4   4.0   4.0 99.0 99.00
2008 03 04 22 50 315  3.0  3.8  1.52  7.69  5.30 999 1016.7   5.2   4.0   4.2 99.0 99.00
2008 03 04 23 50  40  6.5  7.8  1.31  7.14  5.27 999 1017.2   4.8   4.0   3.6 99.0 99.00
2008 03 05 00 50  34  8.2 10.1  1.33  7.14  4.79 999 1017.8   3.9   4.0   3.1 99.0 99.00
2008 03 05 01 50  45  9.1 11.8  1.30  7.14  4.30 999 1017.8   3.6   4.0   3.3 99.0 99.00
2008 03 05 02 50  50  9.7 12.2  1.38  7.14  4.30 999 1018.0   3.5   4.0   3.3 99.0 99.00
2008 03 05 03 50  57 10.8 13.1  1.57  4.17  4.20 999 1017.9   3.3   4.0   3.0 99.0 99.00
2008 03 05 04 50  59 12.3 15.3  1.73  4.76  4.38 999 1017.3   3.1   4.0   2.9 99.0 99.00
2008 03 05 05 50  65 12.7 15.7  2.08  5.56  4.77 999 1016.8   2.8   4.0   2.6 99.0 99.00
2008 03 05 06 50  70 13.7 17.0  2.45  5.88  4.99 999 1015.8   2.8   4.0   2.6 99.0 99.00
2008 03 05 07 50  66 13.1 16.5  2.74  6.25  5.29 999 1014.8   2.7   4.0   2.5 99.0 99.00
2008 03 05 08 50  69 13.3 15.4  2.87  7.14  5.40 999 1013.9   2.8   4.0   2.6 99.0 99.00
2008 03 05 09 50  71 13.9 16.7  3.41  7.14  5.84 999 1012.3   3.0   4.0   2.7 99.0 99.00
2008 03 05 10 50  71 13.2 15.9  3.39  7.69  5.84 999 1011.1   3.2   4.0   2.9 99.0 99.00
2008 03 05 11 50  76 11.3 14.2  3.76  8.33  6.17 999 1009.6   3.5   4.0   3.3 99.0 99.00
2008 03 05 12 50  84 10.8 12.7  2.99  7.69  5.82 999 1008.0   4.3   4.0   4.0 99.0 99.00
2008 03 05 13 50 107  7.9  9.4  3.21  7.69  6.22 999 1005.8   6.1   4.0   5.9 99.0 99.00
2008 03 05 14 50 174 10.6 13.6  2.79  7.69  5.83 999 1004.7   8.4   4.0   8.1 99.0 99.00
2008 03 05 15 50 156 10.0 12.0  2.81  7.69  5.60 999 1003.0   7.2   4.2   7.0 99.0 99.00
2008 03 05 16 50 154  9.2 11.2  2.68  7.69  5.51 999 1000.5   7.2   4.2   7.0 99.0 99.00
2008 03 05 17 50 160 11.6 14.1  3.04  7.69  5.81 999  998.8   8.0   4.3   7.8 99.0 99.00
2008 03 05 18 50 169 11.4 13.4  3.33  7.69  6.01 999  997.6   7.8   4.3   7.5 99.0 99.00
2008 03 05 19 50 168 12.3 15.3  3.41  7.69  6.10 999  996.7   7.5   4.3   7.3 99.0 99.00
2008 03 05 20 50 180 10.4 12.8  3.00  8.33  5.89 999  997.6   6.7   4.3   5.8 99.0 99.00
2008 03 05 21 50 213 11.0 14.1  3.51  7.69  6.21 999  999.4   6.7   4.3   5.8 99.0 99.00
2008 03 05 22 50 264  9.3 11.6  3.51  8.33  6.31 999 1001.6   4.0   4.1   3.2 99.0 99.00
2008 03 05 23 50 257  8.6 11.7  3.17  9.09  6.27 999 1003.0   5.5   4.1   2.9 99.0 99.00
2008 03 06 00 50 263 10.5 13.6  2.65  7.69  5.79 999 1003.9   5.8   4.0   3.0 99.0 99.00
2008 03 06 01 50 253  9.9 12.9  3.10  8.33  6.12 999 1005.5   5.2   4.1   3.1 99.0 99.00
2008 03 06 02 50 251 10.9 14.1  2.81  8.33  5.76 999 1006.9   4.7   4.2 999.0 99.0 99.00
2008 03 06 03 50 259 11.6 14.4  2.83  8.33  5.74 999 1008.2   4.0   4.3  -0.1 99.0 99.00
2008 03 06 04 50 260 10.0 12.1  3.38 10.00  6.30 999 1009.8   3.6   4.3  -1.1 99.0 99.00
2008 03 06 05 50 258 11.0 13.2  3.26  6.25  6.21 999 1011.6   3.2   4.3  -1.5 99.0 99.00
2008 03 06 06 50 269 11.7 13.8  3.39 10.00  6.41 999 1012.5   3.0   4.1  -2.2 99.0 99.00
2008 03 06 07 50 270  9.8 12.1  3.32 11.11  6.58 999 1013.6   2.7   4.1  -1.8 99.0 99.00
2008 03 06 08 50 285  9.2 11.6  3.21 11.11  6.75 999 1015.0   2.5   4.0  -1.7 99.0 99.00
2008 03 06 09 50 315  6.6  8.2  2.80 12.50  6.57 999 1016.8   2.1   4.0  -1.1 99.0 99.00
2008 03 06 10 50 350  6.6  8.8  2.63 11.11  6.88 999 1018.0   1.7   4.0  -2.8 99.0 99.00
2008 03 06 11 50 335  4.7  7.0  2.38 12.50  6.80 999 1019.5   1.6   4.0  -3.3 99.0 99.00
2008 03 06 12 50 332  4.1  5.6  2.46 12.50  7.16 999 1020.7   1.7   4.1  -4.4 99.0 99.00
