#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 06 06 00 198  3.8  4.9  0.00  0.00  0.00 999 1007.9  10.9   6.4  10.4 99.0 99.00
2007 01 06 07 00 203  2.3  4.0  0.00  0.00  0.00 999 1006.4  10.6   6.6  10.1 99.0 99.00
2007 01 06 08 00 192  5.2  7.0  0.00  0.00  0.00 999 1006.2  10.2   6.6   9.8 99.0 99.00
2007 01 06 09 00 193  5.6  8.0  0.00  0.00  0.00 999 1004.9  10.4   6.6  10.0 99.0 99.00
2007 01 06 10 00 191  5.1  6.8  0.00  0.00  0.00 999 1003.6  10.2   6.6   9.8 99.0 99.00
2007 01 06 11 00 192  4.3  5.6  0.00  0.00  0.00 999 1003.1  10.9   6.7  10.6 99.0 99.00
2007 01 06 12 00 192  4.3  6.6 99.00 99.00 99.00 999 1002.3  11.0   6.6  10.7 99.0 99.00
2007 01 06 13 00 194  3.5  5.3  0.00  0.00  0.00 999 1002.0  11.7   6.7  11.4 99.0 99.00
2007 01 06 14 00 193  5.1  7.3  0.00  0.00  0.00 999 1001.6  11.8   6.7  11.6 99.0 99.00
2007 01 06 15 00 185  6.1  7.9  0.00  0.00  0.00 999 1001.0  12.6   6.7  12.5 99.0 99.00
2007 01 06 16 00 199  6.3  8.8  0.00  0.00  0.00 999  999.2  11.8   7.1  11.6 99.0 99.00
2007 01 06 17 00 197  5.3  6.9  0.00  0.00  0.00 999  997.9  12.8   7.1  12.6 99.0 99.00
2007 01 06 18 00 190  5.9  7.6  0.00  0.00  0.00 999  996.2  12.0   7.4  11.7 99.0 99.00
2007 01 06 19 00 188  4.7  5.8  0.00  0.00  0.00 999  996.1  12.9   7.4  11.7 99.0 99.00
2007 01 06 20 00 184  3.6  4.8  0.00  0.00  0.00 999  996.1  15.0   7.5  13.1 99.0 99.00
2007 01 06 21 00 191  2.8  3.9  0.00  0.00  0.00 999  996.2  13.6   7.5  11.5 99.0 99.00
2007 01 06 22 00 195  2.6  3.4  0.00  0.00  0.00 999  996.9  13.2   7.1  11.4 99.0 99.00
2007 01 06 23 00 270  6.7  9.9  0.00  0.00  0.00 999  999.2  16.0   7.2   8.9 99.0 99.00
2007 01 07 00 00 278  5.6  7.9  0.00  0.00  0.00 999 1000.9  14.5   7.4   7.7 99.0 99.00
2007 01 07 01 00 267  7.1 10.6  0.00  0.00  0.00 999 1002.4  14.1   7.4   5.0 99.0 99.00
2007 01 07 02 00 255  5.0  9.1  0.00  0.00  0.00 999 1003.2  13.0   7.4   5.6 99.0 99.00
2007 01 07 03 00 249  5.7 11.6  0.00  0.00  0.00 999 1004.1  12.5   7.1   4.5 99.0 99.00
2007 01 07 04 00 272  7.0 10.7  0.00  0.00  0.00 999 1005.6  11.6   7.1   3.3 99.0 99.00
2007 01 07 05 00 292  3.6  5.4  0.00  0.00  0.00 999 1007.7  10.0   7.1 999.0 99.0 99.00
2007 01 07 06 00 293  3.1  4.3  0.00  0.00  0.00 999 1009.4   9.8   7.0   2.9 99.0 99.00
2007 01 07 07 00 289  3.0  4.4  0.00  0.00  0.00 999 1011.6   8.7   7.0   1.6 99.0 99.00
2007 01 07 08 00 296  4.7  7.9  0.00  0.00  0.00 999 1013.4   7.9   6.8   1.0 99.0 99.00
2007 01 07 09 00 290  5.8  8.3  0.00  0.00  0.00 999 1015.5   7.1   6.7  -1.3 99.0 99.00
2007 01 07 10 00 279  5.1  7.2  0.00  0.00  0.00 999 1017.2   6.3   6.6  -4.2 99.0 99.00
2007 01 07 11 00 274  3.2  5.0  0.00  0.00  0.00 999 1018.1   5.8   6.6  -4.4 99.0 99.00
2007 01 07 12 00 252  1.5  3.0  0.00  0.00  0.00 999 1019.6   5.5   6.6  -3.7 99.0 99.00
2007 01 07 13 00 269  2.3  3.1  0.00  0.00  0.00 999 1021.2   5.1   6.6  -3.2 99.0 99.00
2007 01 07 14 00 270  2.1  3.1  0.00  0.00  0.00 999 1022.6   5.9   6.4  -4.1 99.0 99.00
2007 01 07 15 00 288  4.8  7.1  0.00  0.00  0.00 999 1023.4   7.1   6.6  -4.6 99.0 99.00
2007 01 07 16 00 315  4.5  6.7  0.00  0.00  0.00 999 1022.8   7.4   6.6  -4.8 99.0 99.00
2007 01 07 17 00 305  3.8  5.2 99.00 99.00 99.00 999 1022.1   7.9   6.7  -5.5 99.0 99.00
2007 01 07 18 00 280  5.3  8.2  0.00  0.00  0.00 999 1022.1   8.3   6.7  -5.4 99.0 99.00
2007 01 07 19 00 270  2.9  5.3  0.00  0.00  0.00 999 1022.0   9.0   6.7  -7.0 99.0 99.00
2007 01 07 20 00 270  2.1  3.9  0.00  0.00  0.00 999 1022.8   9.5   6.7  -7.1 99.0 99.00
2007 01 07 21 00 271  1.7  3.7  0.00  0.00  0.00 999 1023.6   9.1   6.7  -7.9 99.0 99.00
2007 01 07 22 00 218  1.6  2.6  0.00  0.00  0.00 999 1024.6   7.5   6.6  -5.0 99.0 99.00
2007 01 07 23 00 177  0.7  1.1  0.00  0.00  0.00 999 1025.0   6.0   6.7  -4.3 99.0 99.00
2007 01 08 00 00 191  0.5  0.9  0.00  0.00  0.00 999 1025.0   5.5   6.7  -2.9 99.0 99.00
2007 01 08 01 00 155  0.5  1.2  0.00  0.00  0.00 999 1025.2   4.7   6.7  -3.1 99.0 99.00
2007 01 08 02 00 142  0.1  0.6  0.00  0.00  0.00 999 1025.1   4.7   6.7  -3.7 99.0 99.00
2007 01 08 03 00 183  0.2  0.6 99.00 99.00 99.00 999 1022.7   5.2   6.7  -2.5 99.0 99.00
2007 01 08 04 00   0  0.0  0.0  0.00  0.00  0.00 999 1022.6   5.7   6.7  -1.2 99.0 99.00
2007 01 08 05 00 165  1.1  2.9  0.00  0.00  0.00 999 1021.9   6.6   7.0   1.2 99.0 99.00
2007 01 08 06 00 199  2.9  4.3  0.00  0.00  0.00 999 1021.9   6.8   6.7   2.8 99.0 99.00
2007 01 08 07 00 176  2.2  3.6  0.00  0.00  0.00 999 1021.1   6.7   6.6   2.7 99.0 99.00
2007 01 08 08 00 160  3.8  8.3  0.00  0.00  0.00 999 1019.0   7.0   6.3   2.1 99.0 99.00
2007 01 08 09 00 158  3.3  6.3  0.00  0.00  0.00 999 1016.6   5.1   6.6   1.6 99.0 99.00
2007 01 08 10 00 146  2.3  4.9 99.00 99.00 99.00 999 1015.0   5.1   6.4   2.4 99.0 99.00
2007 01 08 11 00 144  2.4  5.1  0.00  0.00  0.00 999 1013.3   5.6   6.4   2.8 99.0 99.00
2007 01 08 12 00 131  2.1  6.1  0.00  0.00  0.00 999 1011.9   5.9   6.7   3.6 99.0 99.00
2007 01 08 13 00 124  2.2  5.3  0.00  0.00  0.00 999 1009.6   5.9   6.7   4.4 99.0 99.00
2007 01 08 14 00 112  1.8  4.5  0.00  0.00  0.00 999 1007.4   5.9   6.8   4.8 99.0 99.00
2007 01 08 15 00 101  2.2  4.7  0.00  0.00  0.00 999 1004.3   6.6   7.0   5.7 99.0 99.00
2007 01 08 16 00  62  1.2  3.4  0.00  0.00  0.00 999 1000.7   6.8   7.0   5.9 99.0 99.00
2007 01 08 17 00  57  1.6  4.3  0.00  0.00  0.00 999  997.9   7.1   7.0   6.3 99.0 99.00
2007 01 08 18 00  23  0.7  1.5  0.00  0.00  0.00 999  995.6   6.7   7.0   6.0 99.0 99.00
2007 01 08 19 00 335  1.2  2.2  0.00  0.00  0.00 999  993.9   6.6   7.0   5.9 99.0 99.00
2007 01 08 20 00 307  5.2  6.8  0.00  0.00  0.00 999  995.6   4.9   6.7   4.0 99.0 99.00
2007 01 08 21 00 273  2.3  3.4  0.00  0.00  0.00 999  995.9   4.4   6.7   3.1 99.0 99.00
2007 01 08 22 00 252  2.4  4.1  0.00  0.00  0.00 999  996.2   4.4   6.7   3.2 99.0 99.00
2007 01 08 23 00 225  3.0  4.3  0.00  0.00  0.00 999  996.4   4.4   6.7   3.2 99.0 99.00
2007 01 09 00 00 237  2.9  5.0  0.00  0.00  0.00 999  997.2   4.8   6.7   3.4 99.0 99.00
2007 01 09 01 00 253  3.1  4.4  0.00  0.00  0.00 999  998.5   5.5   6.7   3.4 99.0 99.00
2007 01 09 02 00 265  3.1  4.7  0.00  0.00  0.00 999  998.7   5.1   6.6   2.5 99.0 99.00
2007 01 09 03 00 239  3.1  5.2  0.00  0.00  0.00 999  998.7   4.7   6.3   2.1 99.0 99.00
2007 01 09 04 00 228  2.9  4.6  0.00  0.00  0.00 999  999.2   4.7   6.3   1.4 99.0 99.00
