YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 09 05 999 99.0 99.0  1.86  7.14  5.38 999 1015.0  21.9  21.1 999.0 99.0
1999 01 09 06 999 99.0 99.0  2.06  7.14  5.54 999 1014.7  21.9  20.7 999.0 99.0
1999 01 09 07 999 99.0 99.0  1.94  6.67  5.45 999 1014.2  21.9  20.8 999.0 99.0
1999 01 09 08 999 99.0 99.0  1.99  7.14  5.48 999 1013.7  21.9  21.0 999.0 99.0
1999 01 09 09 999 99.0 99.0  2.05  7.14  5.54 999 1012.8  21.9  20.9 999.0 99.0
1999 01 09 10 999 99.0 99.0  1.94  6.67  5.45 999 1012.0  21.5  20.7 999.0 99.0
1999 01 09 11 999 99.0 99.0  1.99  7.14  5.56 999 1011.9  21.4  20.3 999.0 99.0
1999 01 09 12 999 99.0 99.0  1.65  7.14  5.30 999 1012.7  21.3  19.9 999.0 99.0
1999 01 09 13 999 99.0 99.0  1.66  7.14  5.27 999 1013.3  21.2  19.6 999.0 99.0
1999 01 09 14 999 99.0 99.0  1.61  7.14  5.37 999 1014.3  17.3  19.6 999.0 99.0
1999 01 09 15 999 99.0 99.0  1.40  7.14  4.90 999 1015.1  17.5  19.6 999.0 99.0
1999 01 09 16 999 99.0 99.0  1.50  7.14  5.00 999 1015.7  17.3  19.8 999.0 99.0
1999 01 09 17 999 99.0 99.0  1.25  7.69  4.77 999 1014.9  16.8  19.9 999.0 99.0
1999 01 09 18 999 99.0 99.0  1.52  7.14  4.37 999 1013.2  14.6  20.3 999.0 99.0
1999 01 09 19 999 99.0 99.0  1.80  5.26  4.57 999 1014.2  13.4  20.4 999.0 99.0
1999 01 09 20 999 99.0 99.0  2.19  6.25  5.01 999 1013.4  12.7  20.6 999.0 99.0
1999 01 09 21 999 99.0 99.0  2.36  6.25  5.18 999 1014.8  11.6  20.6 999.0 99.0
1999 01 09 22 999 99.0 99.0  2.78  6.67  5.56 999 1015.7  11.1  20.4 999.0 99.0
1999 01 09 23 999 99.0 99.0  2.85  7.14  5.62 999 1016.1  11.0  20.4 999.0 99.0
1999 01 10 00 999 99.0 99.0  2.91  7.14  5.65 999 1017.9  10.9  20.4 999.0 99.0
1999 01 10 01 999 99.0 99.0  2.78  7.14  5.55 999 1018.8  11.2  20.6 999.0 99.0
1999 01 10 02 999 99.0 99.0  3.03  7.14  5.77 999 1019.7  11.1  20.6 999.0 99.0
1999 01 10 03 999 99.0 99.0  2.94  7.14  5.71 999 1020.2  10.8  20.5 999.0 99.0
1999 01 10 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 10 05 999 99.0 99.0  3.35  7.14  6.02 999 1021.0   9.1  20.4 999.0 99.0
1999 01 10 06 999 99.0 99.0  2.93  7.14  5.71 999 1021.4   8.3  20.4 999.0 99.0
