#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 06 16 50 158  5.8  6.9  1.45  5.56  5.23 132 9999.0  21.4  20.6  14.1 99.0 99.00
2008 01 06 17 50 153  5.8  6.7  1.23  8.33  5.09 156 9999.0  21.4  20.7  13.5 99.0 99.00
2008 01 06 18 50 149  5.6  6.6  1.41  6.25  5.21 143 9999.0  21.2  21.1  14.0 99.0 99.00
2008 01 06 19 50 138  5.7  6.5  1.35  5.88  5.18 133 9999.0  21.2  21.2  13.7 99.0 99.00
2008 01 06 20 50 134  6.2  7.3  1.38  5.56  5.18 136 9999.0  21.4  21.2  13.4 99.0 99.00
2008 01 06 21 50 134  6.0  7.1  1.27  5.56  5.01 135 9999.0  21.4  21.2  13.3 99.0 99.00
2008 01 06 22 50 129  5.6  6.4  1.25  7.14  5.11 164 9999.0  21.3  21.4  14.5 99.0 99.00
2008 01 06 23 50 127  5.7  6.9  1.22  5.88  5.03 155 9999.0  21.2  21.3  14.7 99.0 99.00
2008 01 07 00 50 123  6.4  8.4  1.09  6.67  4.96 159 9999.0  21.2  21.2  14.3 99.0 99.00
2008 01 07 01 50 126  7.4  8.6  1.16  5.00  4.61 128 9999.0  21.2  21.2  14.0 99.0 99.00
2008 01 07 02 50 129  7.1  8.4  1.19  5.26  4.71 132 9999.0  21.2  21.2  13.9 99.0 99.00
2008 01 07 03 50 126  7.9  9.6  1.22  5.26  4.56 133 9999.0  21.2  21.2  13.8 99.0 99.00
2008 01 07 04 50 127  8.1  9.3  1.28  5.00  4.53 137 9999.0  21.1  21.2  13.5 99.0 99.00
2008 01 07 05 50 138  8.0  9.1  1.29  4.55  4.56 144 9999.0  21.2  21.2  13.5 99.0 99.00
2008 01 07 06 50 139  7.6  9.6  1.27  4.55  4.50 140 9999.0  21.2  21.2  14.3 99.0 99.00
2008 01 07 07 50 138  8.4 10.1  1.27  5.00  4.50 126 9999.0  21.2  21.2  14.8 99.0 99.00
2008 01 07 08 50 134  8.2  9.8  1.46  5.00  4.51 124 9999.0  21.2  21.2  14.7 99.0 99.00
2008 01 07 09 50 139  7.9  9.4  1.55  5.26  4.78 132 9999.0  21.2  21.2  14.1 99.0 99.00
2008 01 07 10 50 141  7.9  9.3  1.54  5.56  4.71 133 9999.0  21.4  21.2  14.7 99.0 99.00
2008 01 07 11 50 145  7.9  9.1  1.57  5.26  4.85 127 9999.0  21.4  21.2  14.2 99.0 99.00
2008 01 07 12 50 140  8.6  9.8  1.52  5.88  4.73 143 9999.0  21.4  21.2  15.0 99.0 99.00
2008 01 07 13 50 138  7.9  9.6  1.67  5.88  4.90 137 9999.0  21.5  21.2  15.8 99.0 99.00
2008 01 07 14 50 136  8.8  9.8  1.79  5.56  5.07 124 9999.0  21.8  21.2  15.8 99.0 99.00
2008 01 07 15 50 138  9.0 10.4  1.68  6.25  5.04 141 9999.0  21.9  21.2  15.6 99.0 99.00
2008 01 07 16 50 138  8.1  9.9  1.86  5.88  5.07 139 9999.0  21.9  21.2  15.5 99.0 99.00
2008 01 07 17 50 138  7.8  9.2  1.74  6.25  5.08 152 9999.0  21.9  21.2  14.6 99.0 99.00
2008 01 07 18 50 138  7.7  8.9  1.53  5.88  4.97 141 9999.0  21.9  21.2  15.7 99.0 99.00
2008 01 07 19 50 140  7.7  8.7  1.71  7.14  5.03 167 9999.0  21.9  21.3  15.2 99.0 99.00
2008 01 07 20 50 134  8.1 10.3  1.76  6.67  5.17 151 9999.0  22.1  21.2  14.0 99.0 99.00
2008 01 07 21 50 126  7.7  9.0  1.80  7.14  5.45 158 9999.0  22.1  21.2  14.4 99.0 99.00
2008 01 07 22 50 131  7.4  9.4  1.66  6.25  5.24 141 9999.0  21.9  21.2  15.0 99.0 99.00
2008 01 07 23 50 128  8.5  9.8  1.71  7.69  5.21 156 9999.0  21.9  21.2  15.3 99.0 99.00
2008 01 08 00 50 128  9.1 10.5  1.76  7.69  5.29 157 9999.0  21.8  21.2  15.4 99.0 99.00
2008 01 08 01 50 124  9.1 10.8  1.88  6.67  5.25 151 9999.0  21.5  21.2  15.9 99.0 99.00
2008 01 08 02 50 133  9.3 11.2  1.95  7.14  5.23 156 9999.0  21.4  21.2  15.0 99.0 99.00
2008 01 08 03 50 141  9.7 11.4  1.89  7.14  5.26 156 9999.0  21.4  21.2  14.8 99.0 99.00
2008 01 08 04 50 138 10.2 12.2  2.04  7.69  5.34 162 9999.0  21.5  21.2  15.0 99.0 99.00
2008 01 08 05 50 152  9.9 11.6  2.03  7.69  5.25 160 9999.0  21.5  21.2  14.9 99.0 99.00
2008 01 08 06 50 153  9.6 11.4  2.07  6.25  5.37 143 9999.0  21.5  21.2  14.8 99.0 99.00
2008 01 08 07 50 153 10.2 11.8  2.01  6.25  5.22 152 9999.0  21.5  21.2  15.0 99.0 99.00
2008 01 08 08 50 152  9.8 11.7  2.17  6.67  5.28 144 9999.0  21.8  21.2  15.5 99.0 99.00
2008 01 08 09 50 156  8.9 10.2  2.05  7.14  5.41 151 9999.0  21.7  21.2  16.2 99.0 99.00
2008 01 08 10 50 153  8.7 10.7  1.96  6.25  5.40 142 9999.0  21.7  21.2  16.6 99.0 99.00
2008 01 08 11 50 152  8.5 10.0  1.90  8.33  5.36 165 9999.0  21.9  21.2  16.9 99.0 99.00
2008 01 08 12 50 149  8.6 10.4  1.72  6.25  5.13 144 9999.0  21.8  21.2  17.3 99.0 99.00
2008 01 08 13 50 152  8.2 10.0  1.72  5.56  5.01 145 9999.0  21.9  21.2  17.5 99.0 99.00
2008 01 08 14 50 149  7.6  8.9  1.75  6.25  5.24 143 9999.0  22.0  21.2  17.9 99.0 99.00
2008 01 08 15 50 149  7.5  9.2  1.65  8.33  5.27 161 9999.0  22.2  21.2  18.0 99.0 99.00
2008 01 08 16 50 149  6.6  7.8  1.61  7.69  5.13 158 9999.0  22.2  21.4  18.1 99.0 99.00
2008 01 08 17 50 152  7.2  8.6  1.55  7.69  5.21 160 9999.0  22.2  21.4  17.9 99.0 99.00
2008 01 08 18 50 149  6.2  7.4  1.58  6.67  5.14 154 9999.0  22.2  21.4  18.3 99.0 99.00
2008 01 08 19 50 152  6.5  7.7  1.65  7.69  5.30 163 9999.0  22.2  21.4  18.3 99.0 99.00
2008 01 08 20 50 147  7.5  9.0  1.60  7.69  5.13 158 9999.0  22.2  21.4  18.5 99.0 99.00
2008 01 08 21 50 150  7.5  8.8  1.62  8.33  5.20 158 9999.0  22.2  21.4  18.6 99.0 99.00
2008 01 08 22 50 147  6.3  7.5  1.57  7.69  5.28 163 9999.0  22.2  21.4  19.3 99.0 99.00
2008 01 08 23 50 155  5.0  5.8  1.66  7.69  5.68 157 9999.0  22.2  21.4  19.8 99.0 99.00
2008 01 09 00 50 160  5.0  5.9  1.61  8.33  5.58 160 9999.0  22.0  21.4  19.9 99.0 99.00
2008 01 09 01 50 159  4.4  5.1  1.60  7.69  5.57 150 9999.0  21.9  21.4  20.3 99.0 99.00
2008 01 09 02 50 166  2.9  4.0  1.61  7.69  5.71 157 9999.0  21.9  21.4  20.6 99.0 99.00
2008 01 09 03 50 184  2.9  3.3  1.40  7.69  5.59 163 9999.0  21.9  21.2  21.0 99.0 99.00
2008 01 09 04 50 182  3.1  3.8  1.38  8.33  5.57 160 9999.0  21.5  21.2  20.9 99.0 99.00
2008 01 09 05 50 180  3.8  4.7  1.21  7.69  5.58 158 9999.0  21.5  21.2  21.0 99.0 99.00
2008 01 09 06 50 187  2.9  3.3  1.19  7.69  5.45 159 9999.0  21.5  21.2  20.9 99.0 99.00
2008 01 09 07 50 190  2.2  2.6  1.20  7.69  5.53 154 9999.0  21.4  21.1  21.1 99.0 99.00
2008 01 09 08 50 186  2.1  2.6  1.16  7.69  5.58 154 9999.0  21.4  21.2  21.2 99.0 99.00
2008 01 09 09 50 174  1.4  2.0  1.14  7.69  5.59 157 9999.0  21.2  21.2  21.0 99.0 99.00
